Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL,Price
GPU,,Nvidia,GTX 950,166,25.6,111509,https://gpu.userbenchmark.com/Nvidia-GTX-950/Rating/3510,
GPU,ZT-90601-10L,Zotac,Zotac GTX 950 2GB,166,25.6,111509,https://gpu.userbenchmark.com/Nvidia-GTX-950/Rating/3510,
GPU,ZT-90602-10M,Zotac,Zotac GTX 950 2GB OC,166,25.6,111509,https://gpu.userbenchmark.com/Nvidia-GTX-950/Rating/3510,
GPU,ZT-90603-10M,Zotac,Zotac GTX 950 2GB AMP!,166,25.6,111509,https://gpu.userbenchmark.com/Nvidia-GTX-950/Rating/3510,
GPU,02G-P4-2951-KR,EVGA,EVGA GTX 950 2GB SC,166,25.6,111509,https://gpu.userbenchmark.com/Nvidia-GTX-950/Rating/3510,
GPU,02G-P4-2958-KR,EVGA,EVGA GeForce GTX 950 2GB ACX 2.0,166,25.6,111509,https://gpu.userbenchmark.com/Nvidia-GTX-950/Rating/3510,
GPU,02G-P4-2957-KR,EVGA,EVGA GTX 950 2GB SSC ACX,166,25.6,111509,https://gpu.userbenchmark.com/Nvidia-GTX-950/Rating/3510,
GPU,STRIX-GTX950-DC2OC-2GD5-GAMING,Asus,Asus GTX 950 2GB STRIX GAMING,166,25.6,111509,https://gpu.userbenchmark.com/Nvidia-GTX-950/Rating/3510,
GPU,GV-N950WF2OC-2GD,Gigabyte,Gigabyte GTX 950 2GB Windforce,166,25.6,111509,https://gpu.userbenchmark.com/Nvidia-GTX-950/Rating/3510,
GPU,GTX 950 GAMING 2G,MSI,MSI GTX 950 2GB GAMING,166,25.6,111509,https://gpu.userbenchmark.com/Nvidia-GTX-950/Rating/3510,
GPU,GTX 950 2GD5 OC,MSI,MSI GTX 950 2GB OC,166,25.6,111509,https://gpu.userbenchmark.com/Nvidia-GTX-950/Rating/3510,
GPU,GV-N950XTREME-2GD,Gigabyte,Gigabyte GTX 950 2GB XTREME,166,25.6,111509,https://gpu.userbenchmark.com/Nvidia-GTX-950/Rating/3510,
GPU,,Nvidia,GTX 1050-Ti (Mobile Max-Q),167,25.3,10407,https://gpu.userbenchmark.com/SpeedTest/419871/NVIDIA-GeForce-GTX-1050-Ti-with-Max-Q-Design,
GPU,,AMD,R9 270,168,24.1,47409,https://gpu.userbenchmark.com/AMD-R9-270/Rating/3149,
GPU,R9270-DC2OC-2GD5,Asus,ASUS R9 270 2GB Direct CU II OC,168,24.1,47409,https://gpu.userbenchmark.com/AMD-R9-270/Rating/3149,
GPU,11220-00-20G,Sapphire,Sapphire R9 270 2GB Dual-X Boost OC,168,24.1,47409,https://gpu.userbenchmark.com/AMD-R9-270/Rating/3149,
GPU,GV-R927OC-2GD,Gigabyte,Gigabyte R9 270 2GB OC,168,24.1,47409,https://gpu.userbenchmark.com/AMD-R9-270/Rating/3149,
GPU,,Nvidia,Quadro P1000,169,24.1,8041,https://gpu.userbenchmark.com/SpeedTest/271840/NVIDIA-Quadro-P1000,
GPU,,Nvidia,GTX 965M,170,23.5,3914,https://gpu.userbenchmark.com/SpeedTest/24481/NVIDIA-GeForce-GTX-965M,
GPU,,AMD,FirePro W7000,171,23.3,72,https://gpu.userbenchmark.com/AMD-FirePro-W7000/Rating/2842,
GPU,,Nvidia,GTX 780M,172,23.3,3739,https://gpu.userbenchmark.com/SpeedTest/7760/NVIDIA-GeForce-GTX-780M,
GPU,,Nvidia,GTX 1050 (Mobile),173,23,160694,https://gpu.userbenchmark.com/SpeedTest/211022/NVIDIA-GeForce-GTX-1050,
GPU,,Nvidia,GTX 580,174,22.8,15395,https://gpu.userbenchmark.com/Nvidia-GTX-580/Rating/3150,
GPU,,Nvidia,GTX 870M,175,22.1,3247,https://gpu.userbenchmark.com/SpeedTest/10421/NVIDIA-GeForce-GTX-870M,
GPU,,AMD,RX 560,176,22,60738,https://gpu.userbenchmark.com/AMD-RX-560/Rating/3926,
GPU,RX 560 AERO ITX 4G OC,MSI,MSI RX 560 4GB Aero ITX,176,22,60738,https://gpu.userbenchmark.com/AMD-RX-560/Rating/3926,
GPU,,Nvidia,GTX 680MX,177,21.9,279,https://gpu.userbenchmark.com/SpeedTest/8956/NVIDIA-GeForce-GTX-680MX,
GPU,,AMD,R9 M290X,178,21.9,1411,https://gpu.userbenchmark.com/SpeedTest/11722/AMD-Radeon-R9-M290X,
GPU,,Nvidia,Quadro M2000,179,21.5,5678,https://gpu.userbenchmark.com/SpeedTest/135005/NVIDIA-Quadro-M2000,
GPU,,AMD,Radeon HD 7970M,180,21.5,939,https://gpu.userbenchmark.com/SpeedTest/9441/AMD-Radeon-HD-7970M,
GPU,,AMD,R9 M290,181,21.4,93,https://gpu.userbenchmark.com/SpeedTest/31120/AMD-RADEON-R9-M290,
GPU,,Nvidia,GTX 775M,182,21.4,479,https://gpu.userbenchmark.com/SpeedTest/13797/NVIDIA-GeForce-GTX-775M,
GPU,,Nvidia,Quadro K4200,183,21.3,7330,https://gpu.userbenchmark.com/Nvidia-Quadro-K4200/Rating/2838,
GPU,,AMD,R7 370,184,21.2,39178,https://gpu.userbenchmark.com/AMD-R7-370/Rating/3571,
GPU,R7 370 GAMING 4G,MSI,MSI R7 370 4GB Gaming,184,21.2,39178,https://gpu.userbenchmark.com/AMD-R7-370/Rating/3571,
GPU,R7 370 GAMING 2G,MSI,MSI R7 370 2GB Gaming,184,21.2,39178,https://gpu.userbenchmark.com/AMD-R7-370/Rating/3571,
GPU,GV-R737WF2OC-2GD,Gigabyte,Gigabyte AMD R7 370 2GB,184,21.2,39178,https://gpu.userbenchmark.com/AMD-R7-370/Rating/3571,
GPU,11240-06-20G,Sapphire,Sapphire R7 370 2GB Dual-X OC ,184,21.2,39178,https://gpu.userbenchmark.com/AMD-R7-370/Rating/3571,
GPU,11240-04-20G,Sapphire,Sapphire R7 370 4GB NITRO Dual-X OC,184,21.2,39178,https://gpu.userbenchmark.com/AMD-R7-370/Rating/3571,
GPU,STRIX-R7370-DC2OC-2GD5-GAMING,Asus,ASUS R7 370 2GB STRIX OC,184,21.2,39178,https://gpu.userbenchmark.com/AMD-R7-370/Rating/3571,
GPU,STRIX-R7370-DC2OC-4GD5-GAMING,Asus,ASUS R7 370 4GB STRIX OC,184,21.2,39178,https://gpu.userbenchmark.com/AMD-R7-370/Rating/3571,
GPU,R7-370P-2SF5,XFX,XFX R7 370 2GB 2SF5,184,21.2,39178,https://gpu.userbenchmark.com/AMD-R7-370/Rating/3571,
GPU,,Nvidia,Quadro K5000,185,21.1,3775,https://gpu.userbenchmark.com/SpeedTest/9098/NVIDIA-Quadro-K5000,
GPU,,Nvidia,Quadro K5100M,186,20.9,641,https://gpu.userbenchmark.com/SpeedTest/11274/NVIDIA-Quadro-K5100M,
GPU,,AMD,HD 6990 (Crossfire Disabled),187,20.8,1222,https://gpu.userbenchmark.com/SpeedTest/7713/AMD-Radeon-HD-6900,
GPU,,AMD,R7 265,188,20.2,8934,https://gpu.userbenchmark.com/AMD-R7-265/Rating/3296,
GPU,11232-00-20G,Sapphire,Sapphire R7 265 2GB Dual-X ,188,20.2,8934,https://gpu.userbenchmark.com/AMD-R7-265/Rating/3296,
GPU,R7 265 2GD5 OC,MSI,MSI R7 265 2GB OC,188,20.2,8934,https://gpu.userbenchmark.com/AMD-R7-265/Rating/3296,
GPU,,AMD,HD 6970,189,20,9594,https://gpu.userbenchmark.com/SpeedTest/7712/AMD-Radeon-HD-6900,
GPU,,Vmware,SVGA 3D,190,20,11474,https://gpu.userbenchmark.com/SpeedTest/7772/VMware-SVGA-3D,
GPU,,Nvidia,GTX 570,191,19.9,22303,https://gpu.userbenchmark.com/Nvidia-GTX-570/Rating/3156,
GPU,,AMD,HD 7790,192,19.9,8590,https://gpu.userbenchmark.com/SpeedTest/8622/AMD-Radeon-HD-7700,
GPU,,Nvidia,GTX 760 (192-bit),193,19.9,10656,https://gpu.userbenchmark.com/SpeedTest/11047/NVIDIA-GeForce-GTX-760-192-bit,
GPU,,AMD,R7 260X,194,19.9,38521,https://gpu.userbenchmark.com/AMD-R7-260X/Rating/3151,
GPU,11222-22-20G,Sapphire,SAPPHIRE R7 260X 2GB OC 2x DVI,194,19.9,38521,https://gpu.userbenchmark.com/AMD-R7-260X/Rating/3151,
GPU,11222-06-20G,Sapphire,SAPPHIRE R7 260X 2GB OC,194,19.9,38521,https://gpu.userbenchmark.com/AMD-R7-260X/Rating/3151,
GPU,R7260XCNF4,XFX,XFX 260X 2GB,194,19.9,38521,https://gpu.userbenchmark.com/AMD-R7-260X/Rating/3151,
GPU,R7 260X 2GD5 OC,MSI,MSI R7 260X 2GB OC,194,19.9,38521,https://gpu.userbenchmark.com/AMD-R7-260X/Rating/3151,
GPU,,Nvidia,GTX 660,195,19.9,123956,https://gpu.userbenchmark.com/Nvidia-GTX-660/Rating/2162,
GPU,,AMD,RX 460,196,19.7,64240,https://gpu.userbenchmark.com/AMD-RX-460/Rating/3641,
GPU,GV-RX460WF2OC-4GD,Gigabyte,Gigabyte RX 460 4GB Windforce OC,196,19.7,64240,https://gpu.userbenchmark.com/AMD-RX-460/Rating/3641,
GPU, GV-RX460WF2OC-2GD,Gigabyte,Gigabyte RX 460 2GB Windforce OC,196,19.7,64240,https://gpu.userbenchmark.com/AMD-RX-460/Rating/3641,
GPU,STRIX-RX460-O4G-GAMING,Asus,Asus RX 460 4GB ROG STRIX OC,196,19.7,64240,https://gpu.userbenchmark.com/AMD-RX-460/Rating/3641,
GPU,GV-RX460WF2OC-2GD,Gigabyte,Gigabyte RX 460 2GB Windforce OC,196,19.7,64240,https://gpu.userbenchmark.com/AMD-RX-460/Rating/3641,
GPU,AXRX 460 2GBD5-DH/OC,PowerColor,PowerColor RX 460 2GB Red Dragon,196,19.7,64240,https://gpu.userbenchmark.com/AMD-RX-460/Rating/3641,
GPU,11257-02-20G,Sapphire,Sapphire RX 460 4GB Nitro,196,19.7,64240,https://gpu.userbenchmark.com/AMD-RX-460/Rating/3641,
GPU,100409-2GOCL,Sapphire,Sapphire RX 460 2GB 1210 MHz,196,19.7,64240,https://gpu.userbenchmark.com/AMD-RX-460/Rating/3641,
GPU,11257-00-20G,Sapphire,Sapphire RX 460 2GB 1090 MHz,196,19.7,64240,https://gpu.userbenchmark.com/AMD-RX-460/Rating/3641,
GPU,RX-460P4DFG5,XFX,XFX RX 460 2GB,196,19.7,64240,https://gpu.userbenchmark.com/AMD-RX-460/Rating/3641,
GPU,RX-460P2SFG5,XFX,XFX RX 460 2GB,196,19.7,64240,https://gpu.userbenchmark.com/AMD-RX-460/Rating/3641,
GPU,RX-460P4SFG5,XFX,XFX RX 460 4GB SF,196,19.7,64240,https://gpu.userbenchmark.com/AMD-RX-460/Rating/3641,
GPU,GV-RX460WF2OC-4GD,Gigabyte,Gigabyte RX 460 4GB Windforce 2x,196,19.7,64240,https://gpu.userbenchmark.com/AMD-RX-460/Rating/3641,
GPU,DUAL-RX460-O2G,Asus,Asus RX 460 2GB Dual Fan OC,196,19.7,64240,https://gpu.userbenchmark.com/AMD-RX-460/Rating/3641,
GPU,Radeon RX 460 2G OC,MSI,MSI RX 460 2GB 2G OC,196,19.7,64240,https://gpu.userbenchmark.com/AMD-RX-460/Rating/3641,
GPU,,AMD,Radeon RX 560-B,197,19.7,49289,https://gpu.userbenchmark.com/SpeedTest/330029/Radeon-RX-560,
GPU,,Nvidia,GTX 480,198,19.6,3874,https://gpu.userbenchmark.com/Nvidia-GTX-480/Rating/3157,
GPU,,Nvidia,GTX 560 Ti (448 Core LE),199,19.4,2165,https://gpu.userbenchmark.com/SpeedTest/8215/NVIDIA-GeForce-GTX-560-Ti,
GPU,,AMD,HD 7850,200,19.3,49592,https://gpu.userbenchmark.com/AMD-HD-7850/Rating/2182,
GPU,,AMD,HD 6950,201,19,24657,https://gpu.userbenchmark.com/AMD-HD-6950/Rating/3152,
GPU,,Microsoft,RemoteFX Graphics Device - WDDM,202,18.9,126,https://gpu.userbenchmark.com/SpeedTest/13438/Microsoft-RemoteFX-Graphics-Device---WDDM,
GPU,,AMD,HD 5870,203,18.8,10176,https://gpu.userbenchmark.com/SpeedTest/7681/AMD-Radeon-HD-5800,
GPU,,Nvidia,GTX 680M,204,18.7,1365,https://gpu.userbenchmark.com/SpeedTest/8687/NVIDIA-GeForce-GTX-680M,
GPU,,Nvidia,GeForce MX350,205,17.9,3277,https://gpu.userbenchmark.com/SpeedTest/1069350/NVIDIA-GeForce-MX350,
GPU,,AMD,R7 360,206,17.9,26726,https://gpu.userbenchmark.com/AMD-R7-360/Rating/3572,
GPU,R7 360 2GD5 OC,MSI,MSI R7 360 2G OC,206,17.9,26726,https://gpu.userbenchmark.com/AMD-R7-360/Rating/3572,
GPU,11243-00-20G,Sapphire,Sapphire R7 360 2GB OC,206,17.9,26726,https://gpu.userbenchmark.com/AMD-R7-360/Rating/3572,
GPU,11243-05-20G,Sapphire,Sapphire R7 360 2GB NITRO,206,17.9,26726,https://gpu.userbenchmark.com/AMD-R7-360/Rating/3572,
GPU,GV-R736OC-2GD,Gigabyte,Gigabyte R7 360 2GB,206,17.9,26726,https://gpu.userbenchmark.com/AMD-R7-360/Rating/3572,
GPU,GV-R736OC-2GD REV2.0,Gigabyte,Gigabyte R7 360 2GB V2,206,17.9,26726,https://gpu.userbenchmark.com/AMD-R7-360/Rating/3572,
GPU,R7-360P-2SF5,XFX,XFX R7 360 2GB 360P,206,17.9,26726,https://gpu.userbenchmark.com/AMD-R7-360/Rating/3572,
GPU,R7360-OC-2GD5-V2,Asus,Asus R7 360 2GB OC V2,206,17.9,26726,https://gpu.userbenchmark.com/AMD-R7-360/Rating/3572,
GPU,,AMD,Radeon HD 8950,207,17.8,608,https://gpu.userbenchmark.com/SpeedTest/8897/AMD-Radeon-HD-8950,
GPU,,AMD,FirePro M6100 (FireGL V),208,17.5,235,https://gpu.userbenchmark.com/SpeedTest/10287/AMD-FirePro-M6100-FireGL-V,
GPU,,Nvidia,GTX 750-Ti,209,17.2,309423,https://gpu.userbenchmark.com/Nvidia-GTX-750-Ti/Rating/2187,
GPU,02G-P4-3753-KR,EVGA,EVGA GTX 750 Ti 2GB SC,209,17.2,309423,https://gpu.userbenchmark.com/Nvidia-GTX-750-Ti/Rating/2187,
GPU,GTX750TI-OC-2GD5,Asus,ASUS GTX 750 Ti 2GB OC,209,17.2,309423,https://gpu.userbenchmark.com/Nvidia-GTX-750-Ti/Rating/2187,
GPU,N750TI-2GD5TLP,MSI,MSI GTX 750 Ti 2GB,209,17.2,309423,https://gpu.userbenchmark.com/Nvidia-GTX-750-Ti/Rating/2187,
