Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL
SSD,MZ-77Q1T0BW,Samsung,870 QVO 1TB,270,96.4,57565,https://ssd.userbenchmark.com/SpeedTest/1218310/Samsung-SSD-870-QVO-1TB
SSD,MZ-77Q1T0B/AM,Samsung,870 QVO 1TB,270,96.4,57565,https://ssd.userbenchmark.com/SpeedTest/1218310/Samsung-SSD-870-QVO-1TB
SSD,MZ-7PD512BW,Samsung,840 Pro 512GB,271,96.3,14996,https://ssd.userbenchmark.com/SpeedTest/2708/Samsung-SSD-840-PRO-Series
SSD,2LU81AA#ABL,HP,S700 Pro 1TB,272,96.2,84,https://ssd.userbenchmark.com/SpeedTest/387205/HP-SSD-S700-Pro-1TB
SSD,MZ-75E120B,Samsung,850 Evo 120GB,273,96,69224,https://ssd.userbenchmark.com/Samsung-850-Evo-120GB/Rating/3484
SSD,CT250MX200SSD4,Crucial,MX200 SATA M.2 250GB,274,96,2162,https://ssd.userbenchmark.com/SpeedTest/23955/Crucial-CT250MX200SSD4
SSD,SSDSC2BP480G410,Intel,730 Series 480GB,275,95.9,5159,https://ssd.userbenchmark.com/Intel-730-Series-480GB/Rating/3479
SSD,MZ-7TE250BW,Samsung,840 Evo 250GB,276,95.9,217115,https://ssd.userbenchmark.com/Samsung-840-Evo-250GB/Rating/1594
SSD,SSDSC2KW256G8,Intel,545s Series 256GB,277,95.5,17432,https://ssd.userbenchmark.com/SpeedTest/299881/INTEL-SSDSC2KW256G8
SSD,VTR150-25SAT3-480G,OCZ,Vector 150 480GB,278,95.2,381,https://ssd.userbenchmark.com/SpeedTest/7037/OCZ-VECTOR150
SSD,MZ-7PD256BW,Samsung,840 Pro 256GB,279,95,73119,https://ssd.userbenchmark.com/Samsung-840-Pro-256GB/Rating/1408
SSD,CT250MX200SSD1,Crucial,MX200 250GB,280,94.8,26364,https://ssd.userbenchmark.com/Crucial-MX200-250GB/Rating/3196
SSD,MZ-MTE500BW,Samsung,840 Evo mSATA 500GB,281,94.7,727,https://ssd.userbenchmark.com/SpeedTest/10255/Samsung-SSD-840-EVO-500GB-mSATA
SSD,CT240BX300SSD1,Crucial,BX300 240GB,282,94.5,7269,https://ssd.userbenchmark.com/Crucial-BX300-240GB/Rating/3946
SSD,MZ-750250BW,Samsung,750 EVO 250GB,283,94.4,75831,https://ssd.userbenchmark.com/SpeedTest/71929/Samsung-SSD-750-EVO-250GB
SSD,MKNP44SC480GB,Mushkin,Scorpion Deluxe PCIe 480GB,284,94.1,113,https://ssd.userbenchmark.com/SpeedTest/11924/Mushkin-Scorpion-Deluxe
SSD,PX-256M6Pro,Plextor,M6 Pro 256GB,285,94.1,927,https://ssd.userbenchmark.com/SpeedTest/14560/PLEXTOR-PX-256M6Pro
SSD,VTR1-25SAT3-512G,OCZ,Vector 512GB,286,93.9,345,https://ssd.userbenchmark.com/SpeedTest/1810/OCZ-VECTOR
SSD,VTR180-25SAT3-240G,Toshiba,OCZ VT180 240GB,287,93.9,147,https://ssd.userbenchmark.com/SpeedTest/171243/TOSHIBA-VT180
SSD,CT1000BX100SSD1,Crucial,BX100 1TB,288,93.8,1367,https://ssd.userbenchmark.com/SpeedTest/22670/CT1000BX100SSD1
SSD,PX-512M6Pro,Plextor,M6 Pro 512GB,289,93.8,208,https://ssd.userbenchmark.com/SpeedTest/15117/PLEXTOR-PX-512M6Pro
SSD,SDSSDXPS-960G-G25,SanDisk,Extreme Pro 960GB,290,93.6,2857,https://ssd.userbenchmark.com/SanDisk-Extreme-Pro-960GB/Rating/3581
SSD,CSSD-N960GBXT,Corsair,Neutron XT 960GB,291,93.4,202,https://ssd.userbenchmark.com/SpeedTest/23267/Corsair-Neutron-XT-SSD
SSD,MDNVME80-SBX-0128,MyDigitalSSD,SBX NVMe PCIe M.2 128GB,292,93.3,119,https://ssd.userbenchmark.com/SpeedTest/431053/SBX
SSD,SDSSDXPS-480G-G25,SanDisk,Extreme Pro 480GB,293,93.2,9250,https://ssd.userbenchmark.com/SanDisk-Extreme-Pro-480GB/Rating/3476
SSD,RVD3X2-FHPX4-480G,OCZ,RevoDrive 3 X2 PCIe 480GB,294,93.1,269,https://ssd.userbenchmark.com/SpeedTest/8804/OCZ-REVODRIVE3-X2
SSD,PX-512M6V,Plextor,M6V 512GB,295,92.9,53,https://ssd.userbenchmark.com/SpeedTest/31388/PLEXTOR-PX-512M6V
SSD,SSD7CS1311-960-RB,PNY,CS1311 960GB,296,92.7,1486,https://ssd.userbenchmark.com/PNY-CS1311-960GB/Rating/3617
SSD,MZ-750120BW,Samsung,750 EVO 120GB,297,92.7,20420,https://ssd.userbenchmark.com/SpeedTest/42465/Samsung-SSD-750-EVO-120GB
SSD,VTR1-25SAT3-256G,OCZ,Vector 256GB,298,92.6,2095,https://ssd.userbenchmark.com/OCZ-Vector-256GB/Rating/1424
SSD,VTR180-25SAT3-480G,Toshiba,OCZ VT180 480GB,299,92.5,115,https://ssd.userbenchmark.com/SpeedTest/146334/TOSHIBA-VT180
SSD,CT256M550SSD4,Crucial,M550 SATA M.2 256GB,300,92.5,143,https://ssd.userbenchmark.com/SpeedTest/12143/Crucial-CT256M550SSD4
SSD,CT512M550SSD1,Crucial,M550 512GB,301,92.5,5683,https://ssd.userbenchmark.com/SpeedTest/7172/Crucial-CT512M550SSD1
SSD,CT512M550SSD4,Crucial,M550 SATA M.2 512GB,302,92.4,189,https://ssd.userbenchmark.com/SpeedTest/15375/Crucial-CT512M550SSD4
SSD,SSD7CS2211-480-RB,PNY,CS2211 480GB,303,92.2,2197,https://ssd.userbenchmark.com/PNY-CS2211-480GB/Rating/3630
SSD,SSD7CS2211-480-PB,PNY,CS2211 480GB,303,92.2,2197,https://ssd.userbenchmark.com/PNY-CS2211-480GB/Rating/3630
SSD,VTR180-25SAT3-960G,OCZ,Vector 180 960GB,304,92.1,344,https://ssd.userbenchmark.com/SpeedTest/30972/OCZ-VECTOR180
SSD,2AP98AA#ABL,HP,S700 Pro 256GB,305,92.1,1325,https://ssd.userbenchmark.com/SpeedTest/366058/HP-SSD-S700-Pro
SSD,VTX460A-25SAT3-240G,OCZ,Vertex 460A 240GB,306,92.1,1086,https://ssd.userbenchmark.com/OCZ-Vertex-460A-240GB/Rating/3147
SSD,SDSSDXPS-240G,SanDisk,Extreme Pro 240GB,307,91.7,10862,https://ssd.userbenchmark.com/SanDisk-Extreme-Pro-240GB/Rating/2356
SSD,SDSSDXP-480G-G25,SanDisk,Extreme II 480GB,308,91.6,1439,https://ssd.userbenchmark.com/SpeedTest/2135/SanDisk-SDSSDXP480G
SSD,CT500BX100SSD1,Crucial,BX100 500GB,309,91.6,13478,https://ssd.userbenchmark.com/Crucial-BX100-500GB/Rating/3474
SSD,CT1050MX300SSD1,Crucial,MX300 1TB,310,91.4,21936,https://ssd.userbenchmark.com/Crucial-MX300-1TB/Rating/3645
SSD,MZ-7TE120BW,Samsung,840 Evo 120GB,311,91.4,104444,https://ssd.userbenchmark.com/Samsung-840-Evo-120GB/Rating/1886
SSD,VTR180-25SAT3-480G,OCZ,Vector 180 480GB,312,91.1,1103,https://ssd.userbenchmark.com/OCZ-Vector-180-480GB/Rating/3508
SSD,VTX4-25SAT3-256G,OCZ,Vertex 4 256GB,313,90.8,12355,https://ssd.userbenchmark.com/OCZ-Vertex-4-256GB/Rating/1315
SSD,CSSD-N240GBXT,Corsair,Neutron XT 240GB,314,90.7,1466,https://ssd.userbenchmark.com/Corsair-Neutron-XT-240GB/Rating/3277
SSD,VTX460A-25SAT3-480G,OCZ,Vertex 460A 480GB,315,90.7,523,https://ssd.userbenchmark.com/SpeedTest/21677/OCZ-VERTEX460A
SSD,MZ-76Q1T0BW,Samsung,860 QVO 1TB,316,90.7,170497,https://ssd.userbenchmark.com/SpeedTest/667965/Samsung-SSD-860-QVO-1TB
SSD,MZ-76Q1T0B/AM,Samsung,860 QVO 1TB,316,90.7,170497,https://ssd.userbenchmark.com/SpeedTest/667965/Samsung-SSD-860-QVO-1TB
SSD,ASU800SS-256GT-C,Adata,Ultimate SU800 256GB,317,90.7,40725,https://ssd.userbenchmark.com/Adata-Ultimate-SU800-256GB/Rating/3912
SSD,SSD7CS2211-960-RB,PNY,CS2211 960GB,318,90.6,229,https://ssd.userbenchmark.com/PNY-CS2211-960GB/Rating/3631
SSD,SSD7CS2211-960-PB,PNY,CS2211 960GB,318,90.6,229,https://ssd.userbenchmark.com/PNY-CS2211-960GB/Rating/3631
SSD,PI480GS25SSDR,Patriot,Ignite 480GB,319,90.5,2730,https://ssd.userbenchmark.com/Patriot-Ignite-480GB/Rating/3574
SSD,CT256M550SSD1,Crucial,M550 256GB,320,90.5,8333,https://ssd.userbenchmark.com/Crucial-M550-256GB/Rating/2000
SSD,CSSD-F512GBLX,Corsair,Force LX 512GB,321,90.4,435,https://ssd.userbenchmark.com/SpeedTest/16265/CORSAIR-FORCE-LX-SSD
SSD,,Toshiba, THNSN5128GPUK NVMe PCIe M.2 128GB,322,90.4,1145,https://ssd.userbenchmark.com/SpeedTest/335393/NVMe-THNSN5128GPUK-TO
SSD,CT1024M550SSD1,Crucial,M550 1TB,323,90.4,1628,https://ssd.userbenchmark.com/SpeedTest/7108/Crucial-CT1024M550SSD1
SSD,RADEON-R7SSD-480G,OCZ,AMD Radeon R7 480GB,324,90.3,707,https://ssd.userbenchmark.com/OCZ-AMD-Radeon-R7-480GB/Rating/3507
SSD,SHSS37A/960G,HyperX,Savage 960GB,325,90.3,1581,https://ssd.userbenchmark.com/HyperX-Savage-960GB/Rating/3580
SSD,VTX460-25SAT3-240G,OCZ,Vertex 460 240GB,326,90.3,1730,https://ssd.userbenchmark.com/OCZ-Vertex-460-240GB/Rating/2043
SSD,HDTS451XZSTA,Toshiba,Q300 Pro 512GB,327,90.3,136,https://ssd.userbenchmark.com/SpeedTest/57809/TOSHIBA-Q300-Pro
SSD,VTX4-25SAT3-512G,OCZ,Vertex 4 512GB,328,90.2,1486,https://ssd.userbenchmark.com/SpeedTest/4340/OCZ-VERTEX4
SSD,VTR180-25SAT3-240G,OCZ,Vector 180 240GB,329,90.2,1083,https://ssd.userbenchmark.com/OCZ-Vector-180-240GB/Rating/3493
SSD,CT1050MX300SSD4,Crucial,MX300 SATA M.2 1TB,330,90.1,6111,https://ssd.userbenchmark.com/SpeedTest/182535/Crucial-CT1050MX300SSD4
SSD,SDSSDXP-240G-G25,SanDisk,Extreme II 240GB,331,90.1,3009,https://ssd.userbenchmark.com/SanDisk-Extreme-II-240GB/Rating/1545
SSD,MKNSSDRE512GB,Mushkin,Reactor 512GB,332,89.9,923,https://ssd.userbenchmark.com/Mushkin-Reactor-512GB/Rating/3584
SSD,,Samsung,MZFLV256 NVMe PCIe M.2 256GB,333,89.9,3895,https://ssd.userbenchmark.com/SpeedTest/37597/NVMe-SAMSUNG-MZFLV256
SSD,ZTSSD-A5P-480G-PE,Zotac,Premium Edition 480GB,334,89.7,269,https://ssd.userbenchmark.com/Zotac-Premium-Edition-480GB/Rating/3599
SSD,,Micron,M600 256GB,335,89.6,1017,https://ssd.userbenchmark.com/SpeedTest/24442/Micron-M600-MTFDDAK256MBF
SSD,MZ-7PD128BW,Samsung,840 Pro 128GB,336,89.5,34842,https://ssd.userbenchmark.com/Samsung-840-Pro-128GB/Rating/1890
SSD,ASP610SS3-1TM-C,Adata,Premier SP610 1TB,337,89.5,156,https://ssd.userbenchmark.com/SpeedTest/19263/ADATA-SP610
SSD,TS256GSSD370S,Transcend,SSD370S 256GB,338,89.4,11742,https://ssd.userbenchmark.com/SpeedTest/26718/TS256GSSD370S
SSD,MKNSSDST960GB,Mushkin,Striker 960GB,339,89.3,31,https://ssd.userbenchmark.com/SpeedTest/25597/MKNSSDST960GB
SSD,SSDPEKKF128GX1,Intel,Pro 6000p NVMe PCIe M.2 128GB,340,89.3,73,https://ssd.userbenchmark.com/SpeedTest/275754/INTEL-SSDPEKKF128G7
SSD,SHSS37A/240G,HyperX,Savage 240GB,341,89.3,39518,https://ssd.userbenchmark.com/HyperX-Savage-240GB/Rating/3494
SSD,VX500-25SAT3-512G,Toshiba,OCZ VX500 512GB,342,89.3,155,https://ssd.userbenchmark.com/SpeedTest/190983/TOSHIBA-VX500
SSD,,PNY,SSD2SC240G5SA754D117-511 240GB,343,89.2,486,https://ssd.userbenchmark.com/SpeedTest/11704/SSD2SC240G5SA754D117-511
SSD,CT750MX300SSD1,Crucial,MX300 750GB,344,89.1,24471,https://ssd.userbenchmark.com/Crucial-MX300-750GB/Rating/3644
SSD,VTR150-25SAT3-240G,OCZ,Vector 150 240GB,345,89,1607,https://ssd.userbenchmark.com/OCZ-Vector-150-240GB/Rating/1748
SSD,PX-256M6S,Plextor,M6S 256GB,346,88.9,1660,https://ssd.userbenchmark.com/Plextor-M6S-256GB/Rating/3505
SSD,MZ-MTE250BW,Samsung,840 Evo mSATA 250GB,347,88.9,1431,https://ssd.userbenchmark.com/SpeedTest/5250/Samsung-SSD-840-EVO-250GB-mSATA
SSD,CSSD-N240GBXTI,Corsair,Neutron XTi 240GB,348,88.8,846,https://ssd.userbenchmark.com/SpeedTest/159221/Corsair-Neutron-XTI-SSD
SSD,PX-512M5P,Plextor,M5 Pro 512GB,349,88.6,554,https://ssd.userbenchmark.com/SpeedTest/1262/PLEXTOR-PX-512M5Pro
SSD,SKC400S37/1T,Kingston,SSDNow KC400 1TB,350,88.6,709,https://ssd.userbenchmark.com/SpeedTest/127752/KINGSTON-SKC400S371T
SSD,RADEON-R7SSD-240G,OCZ,AMD Radeon R7 240GB,351,88.6,2356,https://ssd.userbenchmark.com/OCZ-AMD-Radeon-R7-240GB/Rating/2492
SSD,TRN150-25SAT3-960G,OCZ,Trion 150 960GB,352,88.5,3375,https://ssd.userbenchmark.com/OCZ-Trion-150-960GB/Rating/3621
SSD,MKNSSDRE1TB,Mushkin,Reactor 1TB,353,88.5,9565,https://ssd.userbenchmark.com/Mushkin-Reactor-1TB/Rating/3583
SSD,GP-GSM2NE8128GNTD,Gigabyte,NVMe PCIe M.2 128GB,354,88.5,1572,https://ssd.userbenchmark.com/SpeedTest/602706/GIGABYTE-GP-GSM2NE8128GNTD
SSD,PX-256M5P,Plextor,M5 Pro 256GB,355,88.5,2451,https://ssd.userbenchmark.com/Plextor-M5-Pro-256GB/Rating/1410
SSD,ASX930SS3-120GM-C,Adata,XPG SX930 120GB,356,88.4,1100,https://ssd.userbenchmark.com/Adata-XPG-SX930-120GB/Rating/3635
