Rank,Name,Benchmark,Price,URL,Capacity
43,Samsung 970 Pro NVMe PCIe M.2 1TB $259,327.0,259,https://ssd.userbenchmark.com/SpeedTest/497261/Samsung-SSD-970-PRO-1TB,1000
44,OCZ ARC 100 120GB,83.8,-1,https://ssd.userbenchmark.com/OCZ-ARC-100-120GB/Rating/3487,120
45,SanDisk Extreme II 240GB,90.1,-1,https://ssd.userbenchmark.com/SanDisk-Extreme-II-240GB/Rating/1545,240
46,Crucial MX100 256GB,82.8,-1,https://ssd.userbenchmark.com/Crucial-MX100-256GB/Rating/2317,256
47,Samsung 840 Pro 128GB,89.5,-1,https://ssd.userbenchmark.com/Samsung-840-Pro-128GB/Rating/1890,128
48,Samsung 850 Pro 256GB $129,102.0,129,https://ssd.userbenchmark.com/Samsung-850-Pro-256GB/Rating/2385,256
49,Samsung 850 Pro 1TB $253,105.0,253,https://ssd.userbenchmark.com/Samsung-850-Pro-1TB/Rating/3577,1000
50,Samsung 850 Pro 128GB $163,98.7,163,https://ssd.userbenchmark.com/Samsung-850-Pro-128GB/Rating/3483,128
51,Crucial BX100 250GB $140,86.6,140,https://ssd.userbenchmark.com/Crucial-BX100-250GB/Rating/3145,250
52,Crucial M500 240GB $45,76.6,45,https://ssd.userbenchmark.com/Crucial-M500-240GB/Rating/1551,240
53,Samsung 840 Pro 256GB $200,95.0,200,https://ssd.userbenchmark.com/Samsung-840-Pro-256GB/Rating/1408,256
54,Crucial BX100 500GB $45,91.6,45,https://ssd.userbenchmark.com/Crucial-BX100-500GB/Rating/3474,500
55,Samsung 840 Evo 120GB $100,91.4,100,https://ssd.userbenchmark.com/Samsung-840-Evo-120GB/Rating/1886,120
56,HyperX Fury 120GB,63.7,-1,https://ssd.userbenchmark.com/HyperX-Fury-120GB/Rating/2586,120
57,Crucial MX300 525GB $135,85.8,135,https://ssd.userbenchmark.com/Crucial-MX300-525GB/Rating/3643,525
58,Adata Ultimate SU800 256GB $40,90.7,40,https://ssd.userbenchmark.com/Adata-Ultimate-SU800-256GB/Rating/3912,256
59,Kingston A400 240GB $17,65.8,17,https://ssd.userbenchmark.com/Kingston-A400-240GB/Rating/3953,240
60,Samsung 970 Evo NVMe PCIe M.2 1TB $112,297.0,112,https://ssd.userbenchmark.com/SpeedTest/494791/Samsung-SSD-970-EVO-1TB,1000
61,Crucial BX500 240GB $20,56.0,20,https://ssd.userbenchmark.com/SpeedTest/578496/CT240BX500SSD1,240
62,Kingston SSDNow V300 120GB $40,53.6,40,https://ssd.userbenchmark.com/Kingston-SSDNow-V300-120GB/Rating/1892,120
63,SanDisk Extreme Pro 480GB $200,93.2,200,https://ssd.userbenchmark.com/SanDisk-Extreme-Pro-480GB/Rating/3476,480
64,SanDisk Ultra II 240GB $45,82.2,45,https://ssd.userbenchmark.com/SanDisk-Ultra-II-240GB/Rating/2548,240
65,SanDisk Extreme Pro 240GB $76,91.7,76,https://ssd.userbenchmark.com/SanDisk-Extreme-Pro-240GB/Rating/2356,240
66,OCZ ARC 100 240GB,87.0,-1,https://ssd.userbenchmark.com/OCZ-ARC-100-240GB/Rating/2603,240
67,OCZ AMD Radeon R7 120GB,86.5,-1,https://ssd.userbenchmark.com/OCZ-AMD-Radeon-R7-120GB/Rating/3492,120
68,OCZ Vertex 460A 120GB,86.1,-1,https://ssd.userbenchmark.com/OCZ-Vertex-460A-120GB/Rating/3490,120
69,OCZ Vertex 460A 240GB,92.1,-1,https://ssd.userbenchmark.com/OCZ-Vertex-460A-240GB/Rating/3147,240
70,Corsair Neutron XT 240GB,90.7,-1,https://ssd.userbenchmark.com/Corsair-Neutron-XT-240GB/Rating/3277,240
71,HyperX Savage 120GB,85.6,-1,https://ssd.userbenchmark.com/HyperX-Savage-120GB/Rating/3496,120
72,SanDisk Ultra Plus 128GB,76.8,-1,https://ssd.userbenchmark.com/SanDisk-Ultra-Plus-128GB/Rating/1887,128
73,OCZ Vertex 4 128GB,88.3,-1,https://ssd.userbenchmark.com/OCZ-Vertex-4-128GB/Rating/1895,128
74,Kingston HyperX 3K 240GB,80.6,-1,https://ssd.userbenchmark.com/Kingston-HyperX-3K-240GB/Rating/1818,240
75,OCZ Vector 150 240GB,89.0,-1,https://ssd.userbenchmark.com/OCZ-Vector-150-240GB/Rating/1748,240
76,Plextor M5 Pro 256GB,88.5,-1,https://ssd.userbenchmark.com/Plextor-M5-Pro-256GB/Rating/1410,256
77,Kingston HyperX 240GB,77.7,-1,https://ssd.userbenchmark.com/Kingston-HyperX-240GB/Rating/1327,240
78,SanDisk Ultra Plus 256GB,81.4,-1,https://ssd.userbenchmark.com/SanDisk-Ultra-Plus-256GB/Rating/1511,256
