Rank,Name,Benchmark,Price,URL
54,AMD RX 6900-XT,195.0,-1,https://gpu.userbenchmark.com/AMD-RX-6900-XT/Rating/4091

55,"Nvidia RTX 3080-Ti $1,429",204.0,1429,https://gpu.userbenchmark.com/Nvidia-RTX-3080-Ti/Rating/4115

56,Nvidia GTX 780-Ti,52.9,-1,https://gpu.userbenchmark.com/Nvidia-GTX-780-Ti/Rating/2165

57,Nvidia GT 1030,13.6,-1,https://gpu.userbenchmark.com/SpeedTest/283726/NVIDIA-GeForce-GT-1030

58,Nvidia GTX 1050 $125,25.7,125,https://gpu.userbenchmark.com/Nvidia-GTX-1050/Rating/3650

59,Nvidia GTX 950,25.6,-1,https://gpu.userbenchmark.com/Nvidia-GTX-950/Rating/3510

60,AMD HD 7970,36.4,-1,https://gpu.userbenchmark.com/AMD-HD-7970/Rating/2163

61,AMD HD 7850,19.3,-1,https://gpu.userbenchmark.com/AMD-HD-7850/Rating/2182

62,AMD RX 6800-XT,171.0,-1,https://gpu.userbenchmark.com/AMD-RX-6800-XT/Rating/4089

63,AMD R9 380X,37.7,-1,https://gpu.userbenchmark.com/AMD-R9-380X/Rating/3532

64,AMD Radeon-VII,101.0,-1,https://gpu.userbenchmark.com/AMD-Radeon-VII/Rating/4035

65,Nvidia RTX 2060 (Mobile),70.9,-1,https://gpu.userbenchmark.com/SpeedTest/701609/NVIDIA-GeForce-RTX-2060

66,Nvidia RTX 3060 (Laptop),89.8,-1,https://gpu.userbenchmark.com/SpeedTest/1452971/NVIDIA-GeForce-RTX-3060-Laptop-GPU

67,AMD RX 5500-XT,51.0,-1,https://gpu.userbenchmark.com/AMD-RX-5500-XT/Rating/4060

68,AMD RX 460,19.7,-1,https://gpu.userbenchmark.com/AMD-RX-460/Rating/3641

69,AMD R9 280,30.0,-1,https://gpu.userbenchmark.com/AMD-R9-280/Rating/2241

70,AMD RX Vega 8 (Ryzen iGPU),9.92,-1,https://gpu.userbenchmark.com/SpeedTest/441833/AMD-RadeonTM-Vega-8-Graphics

71,AMD RX 5700-XT $349,99.0,349,https://gpu.userbenchmark.com/AMD-RX-5700-XT/Rating/4045

72,AMD HD 7950,28.6,-1,https://gpu.userbenchmark.com/AMD-HD-7950/Rating/2160

73,AMD R9 270,24.1,-1,https://gpu.userbenchmark.com/AMD-R9-270/Rating/3149

74,AMD R7 360,17.9,-1,https://gpu.userbenchmark.com/AMD-R7-360/Rating/3572

75,AMD RX Vega 11 (Ryzen iGPU),14.5,-1,https://gpu.userbenchmark.com/SpeedTest/401440/AMD-RadeonTM-RX-Vega-11-Graphics

76,AMD RX 560,22.0,-1,https://gpu.userbenchmark.com/AMD-RX-560/Rating/3926

77,Nvidia RTX 3050-Ti (Laptop),61.8,-1,https://gpu.userbenchmark.com/SpeedTest/1559532/NVIDIA-GeForce-RTX-3050-Ti-Laptop-GPU

78,AMD HD 7870,25.9,-1,https://gpu.userbenchmark.com/AMD-HD-7870/Rating/2161

79,AMD RX 550,14.1,-1,https://gpu.userbenchmark.com/AMD-RX-550/Rating/3925

80,AMD RX Vega-56,78.0,-1,https://gpu.userbenchmark.com/AMD-RX-Vega-56/Rating/3938

81,Intel Iris Xe,14.1,-1,https://gpu.userbenchmark.com/SpeedTest/1268515/IntelR-IrisR-Xe-Graphics

82,AMD RX 6800,143.0,-1,https://gpu.userbenchmark.com/AMD-RX-6800/Rating/4088

83,"Nvidia Titan RTX $1,300",168.0,1300,https://gpu.userbenchmark.com/SpeedTest/664199/NVIDIA-TITAN-RTX

84,Nvidia GTX 770,34.1,-1,https://gpu.userbenchmark.com/Nvidia-GTX-770/Rating/2174

85,Nvidia GTX 780,44.9,-1,https://gpu.userbenchmark.com/Nvidia-GTX-780/Rating/2164

86,Nvidia GTX 560 Ti,16.3,-1,https://gpu.userbenchmark.com/Nvidia-GTX-560-Ti/Rating/2180

87,Nvidia GTX 680,31.6,-1,https://gpu.userbenchmark.com/Nvidia-GTX-680/Rating/3148

88,AMD R7 260X,19.9,-1,https://gpu.userbenchmark.com/AMD-R7-260X/Rating/3151

89,AMD R7 370,21.2,-1,https://gpu.userbenchmark.com/AMD-R7-370/Rating/3571

90,Nvidia GTX 1060 (Mobile),46.7,-1,https://gpu.userbenchmark.com/SpeedTest/164336/NVIDIA-GeForce-GTX-1060

91,Nvidia GTX 1070 (Mobile),72.5,-1,https://gpu.userbenchmark.com/SpeedTest/164129/NVIDIA-GeForce-GTX-1070

92,Nvidia Titan Xp,128.0,-1,https://gpu.userbenchmark.com/SpeedTest/265423/NVIDIA-TITAN-Xp

93,Nvidia Titan V,140.0,-1,https://gpu.userbenchmark.com/SpeedTest/395529/NVIDIA-TITAN-V

94,Nvidia RTX 2070 (Mobile Max-Q),78.8,-1,https://gpu.userbenchmark.com/SpeedTest/703511/NVIDIA-GeForce-RTX-2070-with-Max-Q-Design

95,Nvidia GTX 1660-Ti (Mobile),65.0,-1,https://gpu.userbenchmark.com/SpeedTest/776281/NVIDIA-GeForce-GTX-1660-Ti

96,Nvidia GTX 1650-Ti (Mobile),42.2,-1,https://gpu.userbenchmark.com/SpeedTest/1091296/NVIDIA-GeForce-GTX-1650-Ti

97,Nvidia RTX 3070 (Laptop),114.0,-1,https://gpu.userbenchmark.com/SpeedTest/1445007/NVIDIA-GeForce-RTX-3070-Laptop-GPU

98,Nvidia GTX 550-Ti,8.61,-1,https://gpu.userbenchmark.com/Nvidia-GTX-550-Ti/Rating/3161

99,Intel HD 520 (Mobile Skylake),4.2,-1,https://gpu.userbenchmark.com/SpeedTest/36797/IntelR-HD-Graphics-520

100,Intel UHD Graphics 630 (Desktop Coffee Lake i5 i7),5.19,-1,https://gpu.userbenchmark.com/SpeedTest/356797/IntelR-UHD-Graphics-630

