Rank,Name,Benchmark,Price,URL
54,Intel Core i5-4690K $95,69.6,95,https://cpu.userbenchmark.com/Intel-Core-i5-4690K/Rating/2432

55,AMD Ryzen 5 1600 $289,70.2,289,https://cpu.userbenchmark.com/AMD-Ryzen-5-1600/Rating/3919

56,Intel Core i7-8700 $330,87.0,330,https://cpu.userbenchmark.com/Intel-Core-i7-8700/Rating/3940

57,Intel Core i7-12700F $320,109.0,320,https://cpu.userbenchmark.com/Intel-Core-i7-12700F/Rating/4124

58,Intel Core i9-13900KF $525,129.0,525,https://cpu.userbenchmark.com/SpeedTest/1946957/13th-Gen-IntelR-CoreTM-i9-13900KF

59,Intel Core i7-7700HQ,62.0,-1,https://cpu.userbenchmark.com/SpeedTest/211019/IntelR-CoreTM-i7-7700HQ-CPU---280GHz

60,AMD Ryzen 3 3300X $169,79.7,169,https://cpu.userbenchmark.com/AMD-Ryzen-3-3300X/Rating/4076

61,AMD Ryzen 7 1700X $265,71.0,265,https://cpu.userbenchmark.com/AMD-Ryzen-7-1700X/Rating/3915

62,AMD Ryzen 5 3600X $230,84.1,230,https://cpu.userbenchmark.com/AMD-Ryzen-5-3600X/Rating/4041

63,AMD Ryzen 7 1700 $215,69.0,215,https://cpu.userbenchmark.com/AMD-Ryzen-7-1700/Rating/3917

64,AMD Ryzen 7 2700X $230,75.7,230,https://cpu.userbenchmark.com/AMD-Ryzen-7-2700X/Rating/3958

65,AMD Ryzen 9 5950X $469,100.0,469,https://cpu.userbenchmark.com/AMD-Ryzen-9-5950X/Rating/4086

66,AMD Ryzen 5 1600X,73.7,-1,https://cpu.userbenchmark.com/AMD-Ryzen-5-1600X/Rating/3920

67,Intel Core i3-8100 $155,70.6,155,https://cpu.userbenchmark.com/Intel-Core-i3-8100/Rating/3942

68,Intel Core i7-13700KF $390,126.0,390,https://cpu.userbenchmark.com/SpeedTest/1925886/13th-Gen-IntelR-CoreTM-i7-13700KF

69,AMD Ryzen 7 1800X $295,71.8,295,https://cpu.userbenchmark.com/AMD-Ryzen-7-1800X/Rating/3916

70,Intel Pentium G4560,57.3,-1,https://cpu.userbenchmark.com/Intel-Pentium-G4560/Rating/3892

71,AMD Ryzen 7 7700X $280,112.0,280,https://cpu.userbenchmark.com/AMD-Ryzen-7-7700X/Rating/4131

72,Intel Core i7-8750H,70.1,-1,https://cpu.userbenchmark.com/SpeedTest/470418/IntelR-CoreTM-i7-8750H-CPU---220GHz

73,Intel Core i5-6500 $138,63.6,138,https://cpu.userbenchmark.com/Intel-Core-i5-6500/Rating/3513

74,Intel Core i7-5820K $199,76.8,199,https://cpu.userbenchmark.com/Intel-Core-i7-5820K/Rating/2579

75,AMD Ryzen 7 3800X $280,87.0,280,https://cpu.userbenchmark.com/AMD-Ryzen-7-3800X/Rating/4047

76,Intel Core i7-6800K $170,80.6,170,https://cpu.userbenchmark.com/Intel-Core-i7-6800K/Rating/3607

77,AMD Ryzen 3 2200G $170,60.5,170,https://cpu.userbenchmark.com/SpeedTest/441832/AMD-Ryzen-3-2200G-with-Radeon-Vega-Graphics

78,AMD Ryzen 3 3200G $77,62.7,77,https://cpu.userbenchmark.com/SpeedTest/824486/AMD-Ryzen-3-3200G-with-Radeon-Vega-Graphics

79,Intel Core i7-4770K,73.6,-1,https://cpu.userbenchmark.com/Intel-Core-i7-4770K/Rating/1537

80,Intel Core i9-10900K $340,99.6,340,https://cpu.userbenchmark.com/Intel-Core-i9-10900K/Rating/4071

81,Intel Core i5-2500,62.9,-1,https://cpu.userbenchmark.com/SpeedTest/517/IntelR-CoreTM-i5-2500-CPU---330GHz

82,Intel Core i7-2600 $129,67.1,129,https://cpu.userbenchmark.com/Intel-Core-i7-2600/Rating/620

83,AMD Ryzen 5 2400G $195,62.5,195,https://cpu.userbenchmark.com/SpeedTest/433194/AMD-Ryzen-5-2400G-with-Radeon-Vega-Graphics

