Rank,Name,Benchmark,Price,URL,Capacity
39,Corsair Vengeance LPX DDR4 4800 C16 2x8GB $48,47.839999999999996,48,https://ram.userbenchmark.com/Corsair-Vengeance-LPX-DDR4-2400-C16-1x8GB/Rating/3610,16
41,G.SKILL Trident Z RGB DDR4 3000 C16 2x8GB $59,80.8,59,https://ram.userbenchmark.com/SpeedTest/236585/GSKILL-F4-3000C16-8GTZR-2x8GB,16
41,G.SKILL Trident Z RGB DDR4 3000 C16 4x8GB $118,92.91999999999999,118,https://ram.userbenchmark.com/SpeedTest/236585/GSKILL-F4-3000C16-8GTZR-2x8GB,32
64,Corsair Vengeance LPX DDR4 3600 C18 2x8GB $50,89.4,50,https://ram.userbenchmark.com/SpeedTest/808862/Corsair-Vengeance-LPX-CMK16GX4M2D3600C18-2x8GB,16
64,Corsair Vengeance LPX DDR4 3600 C18 4x8GB $100,102.81,100,https://ram.userbenchmark.com/SpeedTest/808862/Corsair-Vengeance-LPX-CMK16GX4M2D3600C18-2x8GB,32
67,G.SKILL Ripjaws V DDR4 2400 C15 2x4GB $30,72.1,30,https://ram.userbenchmark.com/GSKILL-Ripjaws-V-DDR4-2400-C15-2x4GB/Rating/3559,8
67,G.SKILL Ripjaws V DDR4 2400 C15 4x4GB $60,82.91499999999999,60,https://ram.userbenchmark.com/GSKILL-Ripjaws-V-DDR4-2400-C15-2x4GB/Rating/3559,16
68,Corsair Vengeance LPX DDR4 3600 C18 2x16GB $85,96.8,85,https://ram.userbenchmark.com/SpeedTest/998434/Corsair-Vengeance-LPX-CMK32GX4M2Z3600C18-2x16GB,32
68,Corsair Vengeance LPX DDR4 3600 C18 4x16GB $170,111.32,170,https://ram.userbenchmark.com/SpeedTest/998434/Corsair-Vengeance-LPX-CMK32GX4M2Z3600C18-2x16GB,64
71,Corsair Vengeance LPX DDR4 2400 C14 2x8GB $50,72.6,50,https://ram.userbenchmark.com/Corsair-Vengeance-LPX-DDR4-2400-C14-2x8GB/Rating/3544,16
71,Corsair Vengeance LPX DDR4 2400 C14 4x8GB $100,83.48999999999998,100,https://ram.userbenchmark.com/Corsair-Vengeance-LPX-DDR4-2400-C14-2x8GB/Rating/3544,32
99,Corsair Vengeance LPX DDR4 3200 C16 2x8GB $45,84.5,45,https://ram.userbenchmark.com/SpeedTest/812521/Corsair-Vengeance-LPX-CMK16GX4M2E3200C16-2x8GB,16
99,Corsair Vengeance LPX DDR4 3200 C16 4x8GB $90,97.175,90,https://ram.userbenchmark.com/SpeedTest/812521/Corsair-Vengeance-LPX-CMK16GX4M2E3200C16-2x8GB,32
100,Corsair Vengeance LPX DDR4 3200 C16 2x16GB $64,86.2,64,https://ram.userbenchmark.com/SpeedTest/814385/Corsair-Vengeance-LPX-CMK32GX4M2E3200C16-2x16GB,32
100,Corsair Vengeance LPX DDR4 3200 C16 4x16GB $128,99.13,128,https://ram.userbenchmark.com/SpeedTest/814385/Corsair-Vengeance-LPX-CMK32GX4M2E3200C16-2x16GB,64
