Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL,Price
CPU,BX80646I34350,Intel,Core i3-4350,415,65.9,512,https://cpu.userbenchmark.com/Intel-Core-i3-4350/Rating/2433,
CPU,BX80623I52500K,Intel,Core i5-2500K,416,65.9,143007,https://cpu.userbenchmark.com/Intel-Core-i5-2500K/Rating/619,
CPU,BX80601950,Intel,Core i7-950,417,65.9,36389,https://cpu.userbenchmark.com/Intel-Core-i7-950/Rating/617,
CPU,BX80646I34370,Intel,Core i3-4370,418,65.8,1504,https://cpu.userbenchmark.com/Intel-Core-i3-4370/Rating/2817,
CPU,,Intel,Xeon W3550,419,65.8,7649,https://cpu.userbenchmark.com/SpeedTest/3628/IntelR-XeonR-CPU-----------W3550----307GHz,
CPU,,Intel,Core i7 940,420,65.5,2107,https://cpu.userbenchmark.com/SpeedTest/606/IntelR-CoreTM-i7-CPU---------940----293GHz,
CPU,YD130XBBAEBOX,AMD,Ryzen 3 1300X,421,65.4,38959,https://cpu.userbenchmark.com/AMD-Ryzen-3-1300X/Rating/3930,
CPU,,Intel,Core i5-3470S,422,65.3,14631,https://cpu.userbenchmark.com/SpeedTest/6387/IntelR-CoreTM-i5-3470S-CPU---290GHz,
CPU,BX80677I57400T,Intel,Core i5-7400T,423,65.3,4070,https://cpu.userbenchmark.com/SpeedTest/244917/IntelR-CoreTM-i5-7400T-CPU---240GHz,
CPU,,Intel,Core i5-3350P,424,65.3,21413,https://cpu.userbenchmark.com/SpeedTest/3018/IntelR-CoreTM-i5-3350P-CPU---310GHz,
CPU,BX80662I36300T,Intel,Core i3-6300T,425,65.2,152,https://cpu.userbenchmark.com/SpeedTest/75733/IntelR-CoreTM-i3-6300T-CPU---330GHz,
CPU,,Intel,Xeon X3440,426,65.2,6034,https://cpu.userbenchmark.com/SpeedTest/6655/IntelR-XeonR-CPU-----------X3440----253GHz,
