Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL
USB,,LEXAR,JD FIREFLY 2GB,600,4.86,119,https://usb.userbenchmark.com/SpeedTest/10782/LEXAR-JD-FIREFLY
USB,,Kingmax,USB2.0 FlashDisk 4GB,601,4.82,41,https://usb.userbenchmark.com/SpeedTest/12171/Kingmax-USB20-FlashDisk
USB,,Kingston,DT 101 G2 8GB,602,4.82,2409,https://usb.userbenchmark.com/SpeedTest/1472/Kingston-DT-101-G2
USB,,Kingston,DataTraveler G2 4GB,603,4.77,609,https://usb.userbenchmark.com/SpeedTest/1799/Kingston-DataTraveler-G2
USB,,JetFlash,Transcend 1GB,604,4.76,95,https://usb.userbenchmark.com/SpeedTest/8690/JetFlash-Transcend-1GB
USB,,TDK,LoR TF10 8GB,605,4.73,1321,https://usb.userbenchmark.com/SpeedTest/10324/TDK-LoR-TF10
USB,,Kingston,DataTraveler 109 8GB,606,4.65,93,https://usb.userbenchmark.com/SpeedTest/1228/Kingston-DataTraveler-109
USB,,ADATA,USB Flash Drive 4GB,607,4.64,19,https://usb.userbenchmark.com/SpeedTest/13330/ADATA-USB-Flash-Drive
USB,,Ut163,USB2FlashStorage 2GB,608,4.63,89,https://usb.userbenchmark.com/SpeedTest/6699/Ut163-USB2FlashStorage
USB,,PNY,USB 2.0 FD 4GB,609,4.62,129,https://usb.userbenchmark.com/SpeedTest/6266/PNY-USB-20-FD
USB,,,,610,4.59,96,https://usb.userbenchmark.com/SpeedTest/7002/
USB,,JetFlash,TS4GJFV30 4GB,611,4.58,222,https://usb.userbenchmark.com/SpeedTest/3281/JetFlash-TS4GJFV30
USB,,Intenso,Rainbow Line 16GB,612,4.54,816,https://usb.userbenchmark.com/SpeedTest/7359/Intenso-Rainbow-Line
USB,,Kingston,DataTraveler SE9 8GB,613,4.54,1239,https://usb.userbenchmark.com/SpeedTest/2584/Kingston-DataTraveler-SE9
USB,,UFD,2.0 Silicon-Power4G 4GB,614,4.53,174,https://usb.userbenchmark.com/SpeedTest/6047/UFD-20-Silicon-Power4G
USB,,Lexar,JD FireFly 4GB,615,4.53,171,https://usb.userbenchmark.com/SpeedTest/10873/Lexar-JD-FireFly
USB,,JetFlash,TS2GJFV30 2GB,616,4.49,238,https://usb.userbenchmark.com/SpeedTest/10269/JetFlash-TS2GJFV30
USB,,Kingston,DT Micro 8GB,617,4.48,413,https://usb.userbenchmark.com/SpeedTest/3115/Kingston-DT-Micro
USB,,USB,FLASH DRIVE 1GB,618,4.38,218,https://usb.userbenchmark.com/SpeedTest/3314/USB-FLASH-DRIVE
USB,,Chipsbnk,UDisk 16GB,619,4.33,26,https://usb.userbenchmark.com/SpeedTest/1257/Chipsbnk-UDisk
USB,,USB,Flash Memory 1GB,620,4.33,125,https://usb.userbenchmark.com/SpeedTest/6923/USB-Flash-Memory
USB,,Verbatim,STORE N GO 2GB,621,4.29,231,https://usb.userbenchmark.com/SpeedTest/8638/Verbatim-STORE-N-GO
USB,,Ut165,USB2FlashStorage 1GB,622,4.2,97,https://usb.userbenchmark.com/SpeedTest/5612/Ut165-USB2FlashStorage
USB,,Kingston,DataTraveler 112 16GB,623,4.14,226,https://usb.userbenchmark.com/SpeedTest/8377/Kingston-DataTraveler-112
USB,,SanDisk,Cruzer Mini 1GB,624,4.12,225,https://usb.userbenchmark.com/SpeedTest/4977/SanDisk-Cruzer-Mini
USB,,USB,Flash Memory 2GB,625,4.12,592,https://usb.userbenchmark.com/SpeedTest/3137/USB-Flash-Memory
USB,,Freecom,DATABAR 4GB,626,3.98,46,https://usb.userbenchmark.com/SpeedTest/9462/Freecom-DATABAR
USB,,Verbatim,STORE N GO 4GB,627,3.98,2873,https://usb.userbenchmark.com/SpeedTest/1268/Verbatim-STORE-N-GO
USB,,Kingston,DataTravelerMini 1GB,628,3.96,92,https://usb.userbenchmark.com/SpeedTest/4656/Kingston-DataTravelerMini
USB,,HUAWEI,SD Storage 8GB,629,3.83,125,https://usb.userbenchmark.com/SpeedTest/4906/HUAWEI-SD-Storage
USB,,,,630,3.64,930,https://usb.userbenchmark.com/SpeedTest/7076/
USB,,USB2.0,FlashDisk 4GB,631,3.59,40,https://usb.userbenchmark.com/SpeedTest/12908/USB20-FlashDisk
USB,,Ut163,USB2FlashStorage 1GB,632,3.45,288,https://usb.userbenchmark.com/SpeedTest/12768/Ut163-USB2FlashStorage
USB,,,AM10 0GB,633,3.41,6,https://usb.userbenchmark.com/SpeedTest/12731/AM10
USB,,Cisco,AM10 0GB,634,3.23,5,https://usb.userbenchmark.com/SpeedTest/10577/Cisco-AM10
USB,,Best,Buy Geek Squad U3 1GB,635,3.14,10,https://usb.userbenchmark.com/SpeedTest/5282/Best-Buy-Geek-Squad-U3
USB,,USB_DISK,USB_DISK 1GB,636,3.04,8,https://usb.userbenchmark.com/SpeedTest/11488/USB-DISK-USB-DISK
USB,,ACTIONS,HS USB FlashDisk 4GB,637,2.91,149,https://usb.userbenchmark.com/SpeedTest/9386/ACTIONS-HS-USB-FlashDisk
USB,,KINGSTON,USB DRIVE 0GB,638,0.9,8,https://usb.userbenchmark.com/SpeedTest/4478/KINGSTON-USB-DRIVE
USB,,SB,X-Fi Go! 1GB,639,0.37,56,https://usb.userbenchmark.com/SpeedTest/2348/SB-X-Fi-Go-
